index,time,session_id,temperature,humidity,pressure,light,latitude,longitude,altitude,speed,satellites,epoch_time,accX,accY,accZ,gyroX,gyroY,gyroZ,RSSI,SNR
1450,1460020,1712742413,19.097640991210938,37.32135772705078,98.81694030761719,0.6451612710952759,69.2335433959961,16.045270919799805,36.79999923706055,0.22224000096321106,12,1712743867,-0.0322265625,-0.205078125,0.974853515625,-0.0762939453125,-0.16021728515625,-0.16021728515625,0,0.0
1451,1460993,1712742413,19.15397071838379,37.362613677978516,98.8134994506836,0.0,69.2335433959961,16.04527473449707,36.70000076293945,0.43892401456832886,12,1712743868,-0.031005859375,-0.205078125,0.97412109375,-0.05340576171875,-0.20599365234375,-0.20599365234375,0,0.0
1452,1461997,1712742413,19.135194778442383,37.38511657714844,98.8148193359375,0.6451612710952759,69.23355865478516,16.0452823638916,37.5,0.11112000048160553,12,1712743869,-0.030029296875,-0.202880859375,0.9736328125,-0.030517578125,-0.14495849609375,-0.14495849609375,0,0.0
1453,1462982,1712742413,19.15397071838379,37.171329498291016,98.8152847290039,0.0,69.23355865478516,16.0452880859375,38.20000076293945,0.18890400230884552,12,1712743870,-0.0302734375,-0.203857421875,0.974853515625,-0.091552734375,-0.17547607421875,-0.17547607421875,0,0.0
1454,1463984,1712742413,19.135194778442383,37.26134490966797,98.8147201538086,0.0,69.23355865478516,16.04529571533203,38.5,0.14260399341583252,12,1712743871,-0.029296875,-0.205078125,0.972412109375,-0.03814697265625,-0.11444091796875,-0.11444091796875,0,0.0
1455,1464967,1712742413,19.191524505615234,37.20508575439453,98.8209228515625,0.0,69.23355865478516,16.04532814025879,38.0,4.34108829498291,12,1712743872,1.0791015625,0.508544921875,7.999755859375,-3.44085693359375,-18.30291748046875,-18.30291748046875,0,0.0
1456,1465959,1712742413,19.15397071838379,37.31010437011719,98.6698226928711,0.0,69.23356628417969,16.045372009277344,37.900001525878906,6.341248035430908,10,1712743873,1.284423828125,0.350341796875,7.999755859375,-21.8505859375,-111.541748046875,-111.541748046875,0,0.0
1457,1466943,1712742413,19.15397071838379,37.283851623535156,97.9273452758789,0.0,69.23358917236328,16.0454158782959,37.70000076293945,8.128427505493164,9,1712743874,-0.64453125,0.07666015625,-2.020263671875,36.30828857421875,-132.6751708984375,-132.6751708984375,0,0.0
1458,1467945,1712742413,19.116416931152344,37.28009796142578,96.0182113647461,0.6451612710952759,69.23360443115234,16.045459747314453,37.599998474121094,8.128427505493164,9,1712743875,-0.264404296875,-0.05908203125,-1.308349609375,-38.3758544921875,-159.23309326171875,-159.23309326171875,0,0.0
1459,1468920,1712742413,19.097640991210938,37.246341705322266,94.6008529663086,0.0,69.23361206054688,16.045501708984375,37.5,8.128427505493164,9,1712743876,-0.210693359375,0.0048828125,-0.94140625,-27.557373046875,-135.44464111328125,-135.44464111328125,0,0.0
1460,1469929,1712742413,19.097640991210938,37.23884201049805,93.2688217163086,0.6451612710952759,69.23363494873047,16.045581817626953,36.70000076293945,9.97116756439209,10,1712743877,-0.1533203125,-0.0234375,-0.71337890625,-26.86309814453125,-117.5384521484375,-117.5384521484375,0,0.0
1461,1470907,1712742413,19.116416931152344,37.283851623535156,92.0869140625,0.0,69.23365020751953,16.045631408691406,36.599998474121094,9.97116756439209,9,1712743878,-0.132080078125,-0.003662109375,-0.51611328125,-25.93994140625,-95.58868408203125,-95.58868408203125,0,0.0
1462,1471909,1712742413,19.041309356689453,37.3138542175293,91.04621887207031,0.6451612710952759,69.2336654663086,16.045684814453125,36.79999923706055,9.9896879196167,10,1712743879,-0.11962890625,-0.087646484375,-0.38818359375,-9.65118408203125,-83.06884765625,-83.06884765625,0,0.0
1463,1472889,1712742413,19.041309356689453,37.298851013183594,90.18408203125,0.0,69.23367309570312,16.04569435119629,36.599998474121094,9.024796485900879,12,1712743880,-0.109619140625,0.00634765625,-0.279296875,-17.8070068359375,-66.89453125,-66.89453125,0,0.0
1464,1473896,1712742413,19.135194778442383,37.295101165771484,89.43110656738281,0.6451612710952759,69.23369598388672,16.04574203491211,36.70000076293945,9.045167922973633,12,1712743881,-0.053955078125,-0.02978515625,-0.203857421875,-13.95416259765625,-62.774658203125,-62.774658203125,0,0.0
1465,1474880,1712742413,19.097640991210938,37.3138542175293,88.8265380859375,0.0,69.23371124267578,16.045785903930664,36.79999923706055,9.065540313720703,12,1712743882,-0.07421875,-0.04638671875,-0.145263671875,-11.69586181640625,-57.769775390625,-57.769775390625,0,0.0
1466,1475884,1712742413,19.0788631439209,37.23509216308594,88.3365478515625,0.6451612710952759,69.2337417602539,16.04586410522461,36.400001525878906,10.795308113098145,12,1712743883,-0.063720703125,-0.058349609375,-0.09375,6.66046142578125,-46.69952392578125,-46.69952392578125,0,0.0
1467,1476851,1712742413,19.060087203979492,37.295101165771484,87.97615051269531,0.0,69.23372650146484,16.04601287841797,36.099998474121094,11.945399284362793,11,1712743884,-0.033203125,-0.05322265625,-0.081787109375,-24.0631103515625,-38.29193115234375,-38.29193115234375,0,0.0
1468,1477849,1712742413,19.060087203979492,37.15632629394531,87.7207260131836,0.6451612710952759,69.23371887207031,16.046171188354492,36.0,13.53626823425293,11,1712743885,-0.044189453125,-0.02783203125,-0.080322265625,-6.38580322265625,-31.43310546875,-31.43310546875,0,0.0
1469,1478843,1712742413,19.0788631439209,37.246341705322266,87.569580078125,0.0,69.23372650146484,16.046342849731445,35.099998474121094,15.23084831237793,12,1712743886,-0.04296875,-0.025390625,-0.079345703125,5.279541015625,-34.9273681640625,-34.9273681640625,0,0.0
